source_url,target_url,match_type,header_code,status
/category/blog/,https://pathfinderpestcontrol.com/new-articles/,exact,301,active
/bed-bug-inspection/,https://pathfinderpestcontrol.com/bed-bug-inspection-2/,exact,301,active
/what-is-ipm-integrated-pest-management-explained/,https://pathfinderpestcontrol.com/integrated-pest-management-benefits/,exact,301,active
/eco-friendly-pest-control-solutions/,https://pathfinderpestcontrol.com/integrated-pest-management-benefits/,exact,301,active
/pathfinder-pest-control-now-offers-gopher-removal-as-a-stand-alone-or-yard-pest-control-service-in-oklahoma/,https://pathfinderpestcontrol.com/gopher-removal/,exact,301,active
/mole-removal-mole-control-in-tulsa-broken-arrow-ok/,https://pathfinderpestcontrol.com/moles-voles-removal/,exact,301,active
/pest-control-in-owasso-ok-pathfinder-pest-control/,https://pathfinderpestcontrol.com/pest-control-owasso-ok/,exact,301,active
/sap/jenks/,https://pathfinderpestcontrol.com/jenks-pest-control/,exact,301,active
/sap/broken-arrow/,https://pathfinderpestcontrol.com/broken-arrow-pest-control/,exact,301,active
/sap/glenpool/,https://pathfinderpestcontrol.com/glenpool-pest-control/,exact,301,active
/sap/catoosa/,https://pathfinderpestcontrol.com/catoosa-pest-control/,exact,301,active
/sap/coweta/,https://pathfinderpestcontrol.com/coweta-pest-control/,exact,301,active
/sap/bixby/,https://pathfinderpestcontrol.com/bixby-pest-control/,exact,301,active
/template/service/,,exact,410,active
/template/footer/,,exact,410,active
/template/sap-template/,,exact,410,active
/template/header/,,exact,410,active
/template/our-process-section/,,exact,410,active
/template/services-section/,,exact,410,active
/template/home-page-template/,,exact,410,active
/template_tag/trades/,,exact,410,active
/benefits-of-local-honey-natures-sweet-superfood/,,exact,410,active
